company_name,sector,ticker,fiscal_year,revenue,ebitda,ebit,net_profit,total_assets,total_equity,total_debt,cfo,current_ratio,quick_ratio,roe,roce,ebitda_margin,interest_coverage,debt_equity,debt_ebitda,cfo_margin,asset_turnover,credit_score,credit_rating
Ashok Leyland,Auto,ASHOKLEY,2021,19454.00,3298.00,2462.00,-70.00,42058.00,7862.00,24077.00,-1065.00,3.18,2.93,-0.89,7.71,16.95,1.30,3.06,7.30,-5.47,0.46,39.08,C/D
Ashok Leyland,Auto,ASHOKLEY,2022,26237.00,3631.00,2765.00,-285.00,43574.00,7304.00,24145.00,2845.00,2.70,2.49,-3.90,8.79,13.84,1.48,3.31,6.65,10.84,0.60,55.83,BB
Ashok Leyland,Auto,ASHOKLEY,2023,41673.00,5993.00,5093.00,1362.00,54679.00,8554.00,31161.00,-4499.00,2.77,2.54,15.92,12.82,14.38,2.43,3.64,5.20,-10.80,0.76,50.59,BB
Ashok Leyland,Auto,ASHOKLEY,2024,45703.00,8783.00,7856.00,2696.00,67595.00,9005.00,40802.00,-6258.00,3.19,2.96,29.94,15.77,19.22,2.63,4.53,4.65,-13.69,0.68,54.68,BB
Ashok Leyland,Auto,ASHOKLEY,2025,42333.00,4093.00,3006.00,3383.00,81546.00,12232.00,49962.00,128.00,3.39,3.18,27.66,4.83,9.67,0.76,4.08,12.21,0.30,0.52,46.33,B
Bajaj Auto,Auto,BAJAJ-AUTO,2021,27741.00,5197.00,4938.00,4857.00,33602.00,27273.00,121.00,3120.00,1.17,0.92,17.81,18.03,18.73,705.43,0.00,0.02,11.25,0.83,80.51,AA
Bajaj Auto,Auto,BAJAJ-AUTO,2022,33145.00,5529.00,5259.00,6166.00,35111.00,29859.00,123.00,4197.00,1.28,1.04,20.65,17.54,16.68,584.33,0.00,0.02,12.66,0.94,84.34,AA
Bajaj Auto,Auto,BAJAJ-AUTO,2023,36455.00,6751.00,6465.00,6060.00,35136.00,29362.00,124.00,5277.00,1.07,0.79,20.64,21.93,18.52,161.62,0.00,0.02,14.48,1.04,81.42,AA
Bajaj Auto,Auto,BAJAJ-AUTO,2024,44870.00,9130.00,8765.00,7708.00,39344.00,28962.00,1912.00,6558.00,0.95,0.75,26.61,28.39,20.35,146.08,0.07,0.21,14.62,1.14,80.25,AA
Bajaj Auto,Auto,BAJAJ-AUTO,2025,50995.00,9969.00,9555.00,7325.00,54110.00,35188.00,9364.00,-1406.00,2.25,2.03,20.82,21.45,19.55,24.56,0.27,0.94,-2.76,0.94,74.67,A
Hero MotoCorp,Auto,HEROMOTOCO,2021,30959.00,4773.00,4058.00,2936.00,23096.00,15416.00,584.00,4110.00,0.79,0.54,19.05,25.36,15.42,88.22,0.04,0.12,13.28,1.34,69.46,BBB
Hero MotoCorp,Auto,HEROMOTOCO,2022,29551.00,3946.00,3256.00,2329.00,22478.00,15847.00,605.00,2104.00,0.87,0.63,14.70,19.79,13.35,61.43,0.04,0.15,7.12,1.31,69.59,BBB
Hero MotoCorp,Auto,HEROMOTOCO,2023,34158.00,4796.00,4099.00,2800.00,23917.00,16656.00,568.00,2614.00,0.96,0.70,16.81,23.80,14.04,39.04,0.03,0.12,7.65,1.43,72.26,A
Hero MotoCorp,Auto,HEROMOTOCO,2024,37789.00,5992.00,5235.00,3742.00,26153.00,17699.00,606.00,4923.00,0.85,0.63,21.14,28.60,15.86,68.88,0.03,0.10,13.03,1.44,78.92,A
Hero MotoCorp,Auto,HEROMOTOCO,2025,40923.00,6614.00,5789.00,4376.00,28390.00,19272.00,700.00,4297.00,0.86,0.62,22.71,28.99,16.16,81.54,0.04,0.11,10.50,1.44,78.92,A
Mahindra & Mahindra,Auto,M&M,2021,74278.00,14865.00,11487.00,1512.00,164968.00,41582.00,80625.00,17909.00,2.50,2.28,3.64,9.40,20.01,1.88,1.94,5.42,24.11,0.45,66.66,BBB
Mahindra & Mahindra,Auto,M&M,2022,90171.00,18191.00,14683.00,7253.00,172388.00,47123.00,77605.00,9248.00,2.30,2.06,15.39,11.77,20.17,2.93,1.65,4.27,10.26,0.52,73.51,A
Mahindra & Mahindra,Auto,M&M,2023,121362.00,24682.00,20325.00,11374.00,204283.00,56366.00,92647.00,-7074.00,2.50,2.19,20.18,13.64,20.34,3.49,1.64,3.75,-5.83,0.59,58.84,BB
Mahindra & Mahindra,Auto,M&M,2024,139078.00,29616.00,24892.00,12270.00,234722.00,66190.00,108647.00,-5630.00,2.73,2.42,18.54,14.24,21.29,3.32,1.64,3.67,-4.05,0.59,57.51,BB
Mahindra & Mahindra,Auto,M&M,2025,159211.00,36592.00,30518.00,14073.00,276013.00,77039.00,129025.00,3176.00,2.74,2.45,18.27,14.81,22.98,3.36,1.67,3.53,1.99,0.58,65.51,BBB
Maruti Suzuki India,Auto,MARUTI,2021,70372.00,8445.00,5411.00,4389.00,71376.00,52501.00,541.00,8856.00,0.65,0.49,8.36,10.20,12.00,53.05,0.01,0.06,12.58,0.99,60.79,BBB
Maruti Suzuki India,Auto,MARUTI,2022,88330.00,8541.00,5752.00,3880.00,74656.00,55333.00,426.00,1840.00,0.84,0.66,7.01,10.32,9.67,45.29,0.01,0.05,2.08,1.18,61.58,BBB
Maruti Suzuki India,Auto,MARUTI,2023,117571.00,13855.00,11029.00,8211.00,84597.00,61791.00,1247.00,9251.00,0.68,0.48,13.29,17.50,11.78,58.98,0.02,0.09,7.87,1.39,61.46,BBB
Maruti Suzuki India,Auto,MARUTI,2024,141858.00,23882.00,18626.00,13488.00,115304.00,85636.00,119.00,16801.00,0.76,0.58,15.75,21.72,16.84,96.01,0.00,0.00,11.84,1.23,69.46,BBB
Maruti Suzuki India,Auto,MARUTI,2025,152913.00,25832.00,20224.00,14500.00,131971.00,96240.00,87.00,16136.00,0.70,0.50,15.07,21.00,16.89,104.25,0.00,0.00,10.55,1.16,69.46,BBB
Britannia Industries,FMCG,BRITANNIA,2021,13136.00,2707.00,2509.00,1851.00,8000.00,3548.00,2107.00,1851.00,1.41,0.95,52.17,44.37,20.61,22.60,0.59,0.78,14.09,1.64,89.33,AA
Britannia Industries,FMCG,BRITANNIA,2022,14136.00,2402.00,2201.00,1516.00,7527.00,2558.00,2481.00,1300.00,1.40,0.85,59.27,43.67,16.99,15.28,0.97,1.03,9.20,1.88,82.33,AA
Britannia Industries,FMCG,BRITANNIA,2023,16301.00,3057.00,2831.00,2316.00,9351.00,3534.00,2997.00,2526.00,1.16,0.74,65.53,43.34,18.75,16.75,0.85,0.98,15.50,1.74,85.75,AA
